frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.459502e+00;-6.659640e+00;-5.715196e+00;-6.247171e+00;1.732796e+01;-4.692448e+00;-1.172162e+00;8.054821e+00;3.181494e+00;3.912401e-02;-1.049618e+01;-3.949426e+00;3.557211e+00;-2.388084e+00
1;0.050000;9.481667e+00;-6.866429e+00;-7.966791e+00;-5.631025e+00;1.983399e+01;-5.255001e+00;-1.114626e+00;8.878427e+00;2.394089e+00;-2.812157e-01;-1.074926e+01;-4.685101e+00;4.116667e+00;-2.070457e+00
2;0.100000;5.022409e+00;-1.601540e+00;-1.468239e+01;-5.710945e-01;1.914902e+01;-9.101505e-01;1.272240e+00;3.999674e+00;9.096788e+00;-1.788703e+00;-8.280221e+00;7.070141e-01;-1.532105e+00;2.886353e-01
3;0.150000;-3.474766e+00;8.844095e+00;-2.209659e+01;-1.900768e-01;2.348056e+01;-5.728054e+00;-1.093976e+00;4.863299e+00;5.432958e+00;-4.448553e+00;-6.305663e+00;-1.698956e+00;-2.946476e+00;1.480644e+00
4;0.200000;-1.016250e+01;1.194140e+01;-1.774571e+01;8.373811e+00;2.094956e+01;-6.483913e+00;3.932745e+00;6.205738e+00;-3.365466e+00;-3.218367e+00;3.659340e+00;-2.993979e+00;-4.282246e+00;2.179779e+00
5;0.250000;-1.662268e+01;9.565687e+00;-1.095893e+01;1.818724e+01;1.624674e+01;-5.112862e+00;8.697618e+00;5.461380e+00;-1.217730e+01;-1.212818e+00;1.522570e+01;-3.929047e+00;-4.427857e+00;7.594376e-01
6;0.300000;-1.395568e+01;9.378567e+00;-3.742609e+00;1.425674e+01;-3.461457e+00;-8.555691e+00;5.285476e+00;2.009212e+00;-8.562775e+00;2.575128e+00;1.628928e+01;-1.027953e+00;-4.777503e-01;2.322639e+00
7;0.350000;-6.651075e+00;6.499949e+00;1.952896e+00;4.696051e+00;-1.896813e+01;-1.057020e+00;1.411448e+00;-6.588296e+00;-2.675041e+00;-8.434196e-01;3.893517e+00;1.872268e+00;-1.925945e-01;5.769608e+00
8;0.400000;-1.959751e+00;4.602844e+00;8.936962e+00;-4.442371e+00;-2.778777e+01;5.384224e+00;-4.558034e-01;-1.053858e+01;1.899941e+00;-2.585876e+00;-4.732791e+00;2.708183e+00;5.962501e-01;5.477524e+00
9;0.450000;2.313125e+00;-8.697739e-01;1.644117e+01;-1.048568e+01;-2.721175e+01;8.644104e+00;-2.694299e+00;-9.128541e+00;3.564753e+00;3.395214e-01;-6.520125e+00;1.806905e+00;3.706190e+00;3.063492e+00
10;0.500000;6.424745e+00;-9.360312e+00;2.264739e+01;-1.079102e+01;-2.092162e+01;6.582476e+00;-2.273623e+00;-7.859399e+00;2.715127e+00;3.720037e+00;-2.374834e+00;3.141708e+00;2.218868e+00;-1.068192e+00
11;0.550000;9.549327e+00;-1.226911e+01;2.209220e+01;-5.235817e+00;-1.354888e+01;6.793528e+00;-3.668864e+00;-7.477868e+00;1.488487e+00;7.190662e+00;4.163368e+00;5.670744e+00;-8.630042e-01;-5.504272e+00
12;0.600000;1.057565e+01;-1.320573e+01;1.083758e+01;-1.919594e+00;-5.088223e+00;1.039081e+01;-8.126173e+00;2.120139e+00;-2.993048e+00;5.144796e-01;6.227864e+00;2.377646e+00;5.268569e-01;-1.031071e+01
